"Chave";"Código";"Nome";"Referência Principal";"Descrição Genérica";"Classe";"CRM";"Un";"Localização física";"Classificação Fiscal";"Procedência";"Modelo";"Eixo";"Mola Freio";"Cor";"Tamanho";"Rodado";"Pneu";"Outras Características";"Volume";"Bruto";"Líquido"
"68159093";"CBHM6000-2E SS RS/RD M17 VJ";"Carreta Hidráulica 6t (6m3) RS/RD de 2 Eixos - USO GERAL - VERDE - Molas, Freios e Pneus não Incluídos";"621898M17VJ";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"2E";"SS";"Verde";;"RS/RD";;;0;"1405";"1400"
"68326352";"CBHM5000 GR SC RD MM P650(R) M17 VM";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ MANG MAIORES + PNEUS 650(R) - VERMELHA - Molas e Freios não Incluídos";"622530M17VM";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Vermelha";;"RD";"650(R) - 650(R) (Un)";"MANG. MAIORES";0;"910";"900"
"69343706";"CBHM6000-2E SS RS/RS P700(R) M17";"Carreta Hidráulica 6t (6m3) RS/RS de 2 Eixos - USO GERAL - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622598M17";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"2E";"SS";"Laranja";;"RS/RS";"700(R) - 700(R) (Un)";;0;"1445";"1440"
"69344523";"CBHM6000-2E SS RS/RS P700(R) M17 VJ";"Carreta Hidráulica 6t (6m3) RS/RS de 2 Eixos - USO GERAL - C/ PNEUS 700(R) - VERDE - Molas e Freios não Incluídos";"622598M17VJ";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"2E";"SS";"Verde";;"RS/RS";"700(R) - 700(R) (Un)";;0;"1445";"1440"
"69375194";"CBHM3500 SS RS P750(R) M17 VJ";"Carreta Hidráulica 3,5t (3,5m3) RS de 1 Eixo - USO GERAL - C/ PNEUS 750(R) - VERDE - Molas e Freios não Incluídos";"614969M17VJ";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"SS";"Verde";;"RS";"750(R) - 750(R) (Un)";;0;"886";"876"
"69375206";"CBHM3500 SS RS M17 VJ";"Carreta Hidráulica 3,5t (3,5m3) RS de 1 Eixo - USO GERAL - VERDE - Molas, Freios e Pneus não Incluídos";"614968M17VJ";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"SS";"Verde";;"RS";;;0;"850";"840"
"69653906";"CBHM10000-2E SS RS/RD M17 VJ";"Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos - FORRAGEIRO - VERDE - Molas, Freios e Pneus não Incluídos";"621478M17VJ";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM10000";"2E";"SS";"Verde";;"RS/RD";;;0;"1473";"1468"
"69746744";"CBHM5000 GR SC RD MM M17 AN";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ FREIOS + MANG MAIORES - AZUL - Molas e Pneus não Incluídos";"622437M17AN";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Azul";;"RD";;"MANG. MAIORES";0;"910";"900"
"69885566";"CBHM5000 GR SS RD MM M17 AN";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA  - C/ MANG MAIORES - AZUL - Molas, Freios e Pneus não Incluídos";"614972M17AN";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Azul";;"RD";;"MANG. MAIORES";0;"910";"900"
"69898320";"CBHM6000 UG SS RD M17 VJ";"Carreta Hidráulica 7t (6m3) RD de 1 Eixo - USO GERAL - VERDE - Molas, Freios e Pneus não Incluídos";"619553M17VJ";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SS";"Verde";;"RD";;;0;"1160";"1150"
