"Chave";"Código";"Nome";"Referência Principal";"Descrição Genérica";"Classe";"CRM";"Un";"Localização física";"Classificação Fiscal";"Procedência";"Modelo";"Eixo";"Mola Freio";"Cor";"Tamanho";"Rodado";"Pneu";"Outras Características";"Volume";"Bruto";"Líquido"
"75395546";"CBH7 UG SS RD P700(R) M21";"Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622744M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"60cm";"RD";"700(R) - 700(R) (Un)";;0;"1205";"1200"
"75417339";"CBH5 UG SS RD P700(R) M21 VM";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 700(R) - VERMELHA - Molas e Freios não Incluídos";"622743M21VM";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Vermelha";"60cm";"RD";"700(R) - 700(R) (Un)";;0;"800";"790"
"75424588";"CBHM5000 CA SS RD MM M17 VM";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - CAFEEIRA - C/ MANG MAIORES - VERMELHA - Molas, Freios e Pneus não Incluídos";"622824M17VM";"Cafeeira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Vermelha";;"RD";;"MANG. MAIORES";0;"910";"900"
"75425300";"CBH5 UG SS RD P750(R) M21 VM";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 750(R) - VERMELHA - Molas e Freios não Incluídos";"622490M21VM";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Vermelha";"60cm";"RD";"750(R) - 750(R) (Un)";;0;"800";"790"
"75431966";"CBH5 FO SS T M21 AN";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - AZUL - Molas, Freios e Pneus não Incluídos";"622763M21AN";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Azul";"1,4m";"TANDEM";;;0;"1118";"1108"
"75438116";"CBH5 FO SC RD M21 VJ";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ FREIOS - VERDE - Molas e Pneus não Incluídos";"622704M21VJ";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SC";"Verde";"1,4m";"RD";;;0;"1118";"1108"
"75438576";"CBH5 FO SS T BE M21";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos";"622774M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"TANDEM";;"B. ENS.";0;"1118";"1108"
"75438734";"CBH5 FO SC T M21";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos";"622779M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SC";"Laranja";"1,4m";"TANDEM";;;0;"1118";"1108"
"75438791";"CBH5 FO SS T MM M21";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos";"622817M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"TANDEM";;"MANG. MAIORES";0;"1118";"1108"
"75438817";"CBH5 FO SC T MM M21";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos";"622822M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SC";"Laranja";"1,4m";"TANDEM";;"MANG. MAIORES";0;"1118";"1108"
"75438833";"CBH5 FO SC RD MM M21";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos";"622823M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SC";"Laranja";"1,4m";"RD";;"MANG. MAIORES";0;"1118";"1108"
"75439463";"CBH5 FO SS RD P650(R) M21";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS 650(R) - Molas e Freios não Incluídos";"622677M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"RD";"650(R) - 650(R) (Un)";;0;"1118";"1108"
"75439523";"CBH5 FO SS T P650(R) M21";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 650(R) - Molas e Freios não Incluídos";"622764M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"TANDEM";"650(R) - 650(R) (Un)";;0;"1118";"1108"
"75440570";"CBH5 FO SS RD MM P700(R) M21 AV";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS 700(R) - AMARELA - Molas e Freios não Incluídos";"622889M21AV";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Amarela";"1,4m";"RD";"700(R) - 700(R) (Un)";"MANG. MAIORES";0;"1118";"1108"
"75443592";"CBH5 FO SS RD P750(R) M21";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622556M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"RD";"750(R) - 750(R) (Un)";;0;"1118";"1108"
"75445188";"CBH5 FO SS RD MM P750(R) M21";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS 750(R) - Molas não incluídos";"622804M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"RD";"750(R) - 750(R) (Un)";"MANG. MAIORES";0;"1118";"1108"
"75445693";"CBH5 FO SS T P750(R) M21";"Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622818M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"TANDEM";"750(R) - 750(R) (Un)";;0;"1118";"1108"
"75449921";"CBHM6000 CA SC T MM M21 VM";"Carreta Hidráulica (6m3) de Eixo Tandem - CAFEEIRA - C/ FREIOS + MANG MAIORES - VERMELHA - Molas e Pneus não Incluídas";"622832M21VM";"Cafeeira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SC";"Vermelha";;"TANDEM";;"MANG. MAIORES";0;"1160";"1150"
"75450040";"CBHM5000 CA SC RD MM P700(R) M17 VM";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS + MANG MAIORES + PNEUS 700(R) - VERMELHA - Molas não Incluídas";"622916M17VM";"Cafeeira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Vermelha";;"RD";"700(R) - 700(R) (Un)";"MANG. MAIORES";0;"924";"914"
"75451478";"CBH5 FO-1M SS T MM M21";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos";"622770M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1m";"TANDEM";;"MANG. MAIORES";0;"1118";"1108"
"75451529";"CBH5 FO-1M SS T BE M21";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos";"622773M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1m";"TANDEM";;"B. ENS.";0;"1118";"1108"
"75455146";"CBH5 FO-1M SS T P650(R) M21";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ PNEUS 650(R) - Molas e Freios não Incluídos";"622772M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1m";"TANDEM";"650(R) - 650(R) (Un)";;0;"1118";"1108"
"75455190";"CBH5 FO-1M SS RD P700(R) M21";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622886M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1m";"RD";"700(R) - 700(R) (Un)";;0;"800";"790"
"75455251";"CBH5 FO-1M SS RD P750(R) M21";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622828M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1m";"RD";"750(R) - 750(R) (Un)";;0;"800";"790"
"75455313";"CBH5 FO-1M SS RD MM P750(R) M21";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS + MANG MAIORES - Molas e Freios não incluídos";"622843M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1m";"RD";"750(R) - 750(R) (Un)";"MANG. MAIORES";0;"800";"790"
"75455344";"CBH5 FO-1M CS RD P750(R) M21";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MOLAS + PNEUS 750(R) - Freios não Incluídos";"622879M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"CS";"Laranja";"1m";"RD";"750(R) - 750(R) (Un)";;0;"1132";"1122"
"75455507";"CBH5 FO SS RD P700(R) M21";"Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622918M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"1,4m";"RD";"700(R) - 700(R) (Un)";;0;"1118";"1108"
"75455595";"CBH5 FO-1M CS RD P700(R) M21";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MOLAS + PNEUS - Freios não Incluídos";"622904M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"CS";"Laranja";"1m";"RD";"700(R) - 700(R) (Un)";;0;"1132";"1122"
"75462882";"CBH5 UG SS T MM M21";"Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos";"622775M21";"Uso Geral";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"60cm";"TANDEM";;"MANG. MAIORES";0;"800";"790"
"75463061";"CBH5 UG CS RD P650(R) M21";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS 650(R) - Freios não Incluído";"621627M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"CS";"Laranja";"60cm";"RD";"650(R) - 650(R) (Un)";;0;"866";"856"
"75464267";"CBH5 UG SS RD P650(R) M21";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 650(R) - Molas e Freios não Incluídos";"622681M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"60cm";"RD";"650(R) - 650(R) (Un)";;0;"800";"790"
"75465111";"CBH5 UG CS RD P700(R) M21";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS 700(R) - Freios não incluídos";"622796M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"CS";"Laranja";"60cm";"RD";"700(R) - 700(R) (Un)";;0;"866";"856"
"75465284";"CBH5 UG SS T P700(R) M21";"Carreta Hidráulica 5t (4m3) de Eixo Tandem - USO GERAL - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622753M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"60cm";"TANDEM";"700(R) - 700(R) (Un)";;0;"800";"790"
"75465352";"CBH5 UG CS RD P750(R) M21";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS 750(R) - Freios não incluídos";"622778M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"CS";"Laranja";"60cm";"RD";"750(R) - 750(R) (Un)";;0;"866";"856"
"75465569";"CBH6-2E FO SS RS/RD M21 VM";"Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - VERMELHA - Molas, Freios e Pneus não Incluídos";"622315M21VM";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Vermelha";"1,4m";"RS/RD";;;0;"1445";"1440"
"75466927";"CBH5 UG SS T P750(R) M21";"Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622768M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"60cm";"TANDEM";"750(R) - 750(R) (Un)";;0;"800";"790"
"75509158";"CBH7 FO SS T MM M21";"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos";"622820M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"TANDEM";;"MANG. MAIORES";0;"1205";"1200"
"75509174";"CBH7 FO SS RD MM M21";"Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos";"622827M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"RD";;"MANG. MAIORES";0;"1205";"1200"
"75509193";"CBH7 FO SC RD MM M21";"Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos";"622837M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SC";"Laranja";"1,4m";"RD";;"MANG. MAIORES";0;"1205";"1200"
"75509210";"CBH7 FO SC T MM M21";"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos";"622881M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SC";"Laranja";"1,4m";"TANDEM";;"MANG. MAIORES";0;"1205";"1200"
"75509234";"CBH6-2E FO SS RS/RD P700(R) M21";"Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622760M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Laranja";"1,4m";"RS/RD";"700(R) - 700(R) (Un)";;0;"1445";"1440"
"75509310";"CBH6-2E FO SS RS/T P700(R) M21";"Carreta Hidráulica 6t (9m3) RS/Tandem de 2 Eixos - FORRAGEIRA - C/ PNEUS 700(R) - Molas e Freio não Incluídos";"622785M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Laranja";"1,4m";"RS/TANDEM";"700(R) - 700(R) (Un)";;0;"1610";"1605"
"75510030";"CBH7 FO SS RD MM P700(R) M21";"Carreta Hidráulica 7t (9m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS - Molas e Freios não Incluídos";"622890M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"RD";"700(R) - 700(R) (Un)";"MANG. MAIORES";0;"1205";"1200"
"75510774";"CBH7 FO SS T P700(R) M21";"Carreta Hidráulica 7t (9m3) Eixo Tandem - FORRAGEIRA - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622898M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"TANDEM";"700(R) - 700(R) (Un)";;0;"1205";"1200"
"75510793";"CBH6-2E FO SS RS/RD P750(R) M21";"Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS 750(R)  - Molas e Freios não Incluídos";"622339M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Laranja";"1,4m";"RS/RD";"750(R) - 750(R) (Un)";;0;"1445";"1440"
"75510827";"CBH7 FO SS RD P750(R) M21";"Carreta Hidráulica 7t (9m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS 750(R)  - Molas e Freios não Incluídos";"622355M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"RD";"750(R) - 750(R) (Un)";;0;"1205";"1200"
"75510863";"CBH7 FO SS T P750(R) M21";"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622462M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"TANDEM";"750(R) - 750(R) (Un)";;0;"1205";"1200"
"75515155";"CBH6-2E FO SS RS/RD CB P750(R) M21";"Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA -  C/ COMBOIO - COM PNEUS - Molas e Freios não Incluídos";"622617M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Laranja";"1,4m";"RS/RD";"750(R) - 750(R) (Un)";"COMB.";0;"1445";"1440"
"75515276";"CBH6-2E FO SS RS/T P750(R) M21";"Carreta Hidráulica 6t (9m3) RS/Tandem de 2 Eixos - FORRAGEIRA - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622626M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Laranja";"1,4m";"RS/TANDEM";"750(R) - 750(R) (Un)";;0;"1610";"1605"
"75515406";"CBH7 FO SS T MM P750(R) M21";"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES + PNEUS 750(R) - Molas e Freios não Incluídos";"622826M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"TANDEM";"750(R) - 750(R) (Un)";"MANG. MAIORES";0;"1205";"1200"
"75515834";"CBH6-2E FO SS RS/RD P700(R) M21 VJ";"Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS 700(R) - VERDE - Molas e Freios não Incluídos";"622760M21VJ";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6-2E";"2E";"SS";"Verde";"1,4m";"RS/RD";"700(R) - 700(R) (Un)";;0;"1445";"1440"
"75516806";"CBHM5000 GR SS RD P700(R) M17 VJ";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ PNEUS 700(R) - VERDE - Molas e Freios não Incluídos";"622747M17VJ";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Verde";;"RD";"700(R) - 700(R) (Un)";;0;"910";"900"
"75517742";"CBH7 FO SS RD MM P750(R) M21";"Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS 750(R) - Molas e Freios não Incluídos";"622834M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1,4m";"RD";"750(R) - 750(R) (Un)";"MANG. MAIORES";0;"1205";"1200"
"75519850";"CBH7 FO-1M SS RD P750(R) M21";"Carreta Hidráulica 7t (6m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622782M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1m";"RD";"750(R) - 750(R) (Un)";;0;"1275";"1270"
"75519869";"CBH7 UG SC RD M21";"Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos";"619566M21";"Uso Geral";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SC";"Laranja";"60cm";"RD";;;0;"1205";"1200"
"75520401";"CBH7 UG SC RD P750(R) M21";"Carreta Hidráulica 7t (9m3) RD de 1 Eixo - USO GERAL - C/ FREIOS + PNEUS 750(R) - Molas não Incluídas";"622875M21";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SC";"Laranja";"60cm";"RD";"750(R) - 750(R) (Un)";;0;"1205";"1200"
"75522758";"CBH6R FO SC T M21";"Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos";"622791M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH6R";"1E";"SC";"Laranja";"1,4m";"TANDEM";;;0;"1485";"1480"
"75522791";"CBH6R FO SS T MM M21";"Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos";"622849M21";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH6R";"1E";"SS";"Laranja";"1,4m";"TANDEM";;"MANG. MAIORES";0;"1485";"1480"
"75522840";"CBH6R FO SS T P700(R) M21";"Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos";"622784M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6R";"1E";"SS";"Laranja";"1,4m";"TANDEM";"700(R) - 700(R) (Un)";;0;"1485";"1480"
"75523221";"CBH6R FO SS T P750(R) M21";"Carreta Hidráulica 6t (9m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622642M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6R";"1E";"SS";"Laranja";"1,4m";"TANDEM";"750(R) - 750(R) (Un)";;0;"1485";"1480"
"75523307";"CBH6R FO SC T P750(R) M21";"Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIO + PNEUS 750(R) - Molas não Incluídos";"622730M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH6R";"1E";"SC";"Laranja";"1,4m";"TANDEM";"750(R) - 750(R) (Un)";;0;"1485";"1480"
"75523356";"CBH7 FO-1M SS T P750(R) M21";"Carreta Hidráulica 7t (6m3) de Eixo Tandem - FORRAGEIRA 1M - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622671M21";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH7";"1E";"SS";"Laranja";"1m";"TANDEM";"750(R) - 750(R) (Un)";;0;"1225";"1220"
"75580367";"CBH5 FO-1M SS T MM M21 AV";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ MANGUEIRAS MAIORES - AMARELA - Molas, Freios e Pneus não Incluídos";"622770M21AV";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Amarela";"1m";"TANDEM";;"MANG. MAIORES";0;"1118";"1108"
"75586106";"CBH5 UG SS RD P750(I) M21";"Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL -  C/ PNEUS - Molas e Freios não Incluídos";"622923M21";"Uso Geral";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBH5";"1E";"SS";"Laranja";"60cm";"RD";"750(I) - 750(I) (Un)";;0;"800";"790"
"75587055";"CBHM5000 CA SC RD MM P750(I) M17 VM";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS + MANG MAIORES + PNEUS 750(I) - VERMELHA - Molas não Incluídas";"622924M17VM";"Cafeeira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Vermelha";;"RD";"750(I) - 750(I) (Un)";"MANG. MAIORES";0;"924";"914"
"75587108";"CBHM6000 CA SC RD MM P750(I) M21 VM";"Carreta Hidráulica (6m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS + MANG MAIORES + PNEUS 750(I) - VERMELHA - Molas não Incluídas";"622925M21VM";"Cafeeira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SC";"Vermelha";;"RD";"750(I) - 750(I) (Un)";"MANG. MAIORES";0;"1160";"1150"
